"id","IDAutor","IDCancion","isSongReference"
"36","79","89",False
"17","59","88",False
"8","67","83",False
"48","69","82",False
"27","16","81",False
"26","23","80",False
"2","23","79",False
"7","29","75",False
"16","66","74",False
"29","23","73",False
"12","67","72",False
"14","69","71",False
"13","67","70",False
"1","67","69",False
"11","67","68",False
"43","67","66",False
"33","62","60",False
"15","59","58",False
"46","56","55",False
"9","13","51",False
"5","29","47",False
"28","24","44",False
"23","42","36",False
"19","27","35",False
"35","6","32",False
"44","6","29",False
"31","6","26",False
"40","24","21",False
"42","13","19",False
"34","16","18",False
"41","23","17",False
"21","16","16",False
"37","13","14",False
"3","27","12",False
"38","27","10",False
"6","24","8",False
"45","16","7",False
"4","16","6",False
"10","27","4",False
"32","6","3",False
"49","16","2",False
