"id","AudioSource","IDSource","IDTarget","Verso","isSongReference"
"1","tusa_china.mp3","2","4","Pero si le ponen la cancion",True
"2","cancion_china.mp3","5","4","Pero pusieron la cancion",True
"4","toxica_soltera.mp3","1","3","Y ahora ma' que está de moda estar soltera",True
"3","toxica_tusa.mp3","1","2","Ella llegó depresiva pero le pusieron ""Tusa""",True
"5","ocean_secreto.mp3","6","7","Aquella canción y cuando decoras con rosas mi habitacion",True
"6","djnopare_otrotrago.mp3","8","9","Dile al DJ que me ponga la de ""Otro Trago""",True
"8","djnopare_frikitona.mp3","8","55","Bebe y no perdona fri-fri-frikitona",True
"9","soltera_dejalavolar.mp3","3","30","Déjala volar como decía Tito",True
"10","soltera_wikiwiki.mp3","3","11","Hacerte wiki wiki como dice Yaviah",True
"12","baila_unbeso.mp3","12","13","Solo por un beso como Aventura",True
"11","monastery_lejania.mp3","56","57","Le canté ""Lejanía"" y lo subió a su historia",True
"14","bichota_jeepeta.mp3","16","17","Yo también tengo una Jeepeta",True
"16","fiel_jeepeta.mp3","19","17","En la jeepeta arrebata'o, tú me tiene engabeta'o",True
"17","fiel_comosesiente.mp3","19","14","Como se siente, como se siente?",True
"15","makinon_jeepeta.mp3","18","17","Me aburrí de la Jeepeta y saqué un Makinon",True
"13","comosesiente_dale.mp3","14","15","Don cuando decía ""Dale""",True
"7","djnopare_criminal.mp3","8","10","Si se te olvidó, soy la criminal",True
"18","volvi_jeepeta.mp3","31","17","Te montaste en la jeepeta y no tenía panti",True
"19","automatico_gasolina.mp3","20","32","Y como el Daddy-addy, vamo' a meterle gasolina",True
"20","automatico_dale.mp3","20","15","Los cuerpo' bailando al ritmo de ""Dale, Don Dale""",True
"22","bellaquita_conaltura.mp3","21","22","Siempre con altura como Rosalía",True
"21","bellaquita_criminal.mp3","21","10","Criminal, cri-criminal",True
"23","bellaquita_downtown.mp3","21","23","A mí me gusta cuando baja downtown",True
"24","relacion_safaera.mp3","26","27","Cuando coge la borrachera le da con oír ""Safaera""",True
"25","calma_despacito.mp3","28","29","Y como dice Fonsi, vamo' a darle despacito",True
"26","bubalu_elfarsante.mp3","34","35","Pero como Ozuna, yo fui un farsante, eh",True
"27","enalta_dile.mp3","36","37","Pidiendo otra noche como Don Omar",True
"28","pami_aiseeutepego.mp3","38","39","Ai se eu te pego, flow Michel Teló",True
"29","seleve_criminal.mp3","40","10","Siempre he sido un criminal y no soy Natti",True
"30","tupollo_tocandofondo.mp3","41","42","Como Kalimba, estoy tocando fondo",True
"31","amanece_sinpijama.mp3","43","44","Como Becky G sin pijama",True
"32","triples_mayores.mp3","45","46","Dicen que le gustan mayores como a Becky",True
"33","triples_rakata.mp3","45","58","La vi suelta en la pared perreando Rakata",True
"34","triples_chulo.mp3","45","65","Ella rompe duro cuando le canta el chulo",True
"35","problemon_ojjitoschiquititos.mp3","47","48","Con los ""ojito' chiquitito"", como decía Don",True
"36","paranormal_vivalavidaloca.mp3","49","50","Vida loca como Ricky",True
"37","leyseca_911.mp3","51","52","Como Sech, 911",True
"38","fina_babyfather.mp3","53","54","Yo voy a ser tu baby mother como YOVNGCHIMI",True
"39","fina_lala.mp3","53","73","Vamo' pa ""LALA Remix"", te quité lo de timi",True
"40","otrodialluvioso_sinpijama.mp3","62","44","Como Becky, sin pijama y to' por fuera",True
"42","tesupere_tebote.mp3","63","64","Subo un video a las rede' yo cantando ""Te Boté""",True
"43","calenton_efecto.mp3","66","67","Se pone bellaquita si le pongo ""Efecto""",True
"41","otrodialluvioso_mayores.mp3","62","46","Y dice que le encanta que no le quepa en la boca",True
"44","cuandosera_despacito.mp3","69","29","Le gusta duro pero también despacito como Fonsi",True
"45","pegate_travesuras.mp3","70","71","No soy Nicky, pero vamo' a hacer travesura'",True
"46","fiel_nochedesexo.mp3","19","74","Hoy es noche de sexo, llamé pa' verte",True
"47","elefecto_paquetelogozen.mp3","75","76","Como Calderón, esto es pa' que te lo goces",True
"49","godiva_ojitoschiquititos.mp3","80","48","Eso' ojito' chiquitito' no mienten",True
"50","poblado_wikiwiki.mp3","81","11","Perrea desde los tiempos de wiki-wiki",True
"51","poblado_perdon.mp3","81","82","Te canto ""El Perdón"" y te hago travesuras",True
"48","yoperreosola_amorfoda.mp3","25","78","No cree en el amor desde ""Amorfoda""",True
"52","supernova_polaris.mp3","84","83","Te escribí Polaris y me gané un disco de oro",True
"53","supernova_quiendijoamigos.mp3","84","85","Como Rossy, ¿quién dijo amigos?",True
"54","meportobonito_frikitona.mp3","86","55","Frikitona, ma, se te nota",True
"55","mienteme_quiendijoamigo.mp3","89","85","Quien dijo amigo? Si te conozco mucho más sin la ropita",True
"56","otrodialluvioso_elegi.mp3","62","90","Yo no te elegí, yo te cogí como mi doña",True
