"id","AudioSource","IDSource","IDTarget","Verso","isSongReference"
"1","comosesiente_karolg.mp3","14","16","Y parcerita como Karol G",False
"2","fiel_rauw.mp3","19","29","En la cama tengo gana' 'e bailarte como Rauw",False
"3","jeepeta_ozuna.mp3","17","27","Por qué no hacemos una porno como Ozuna?",False
"4","jeepeta_nickyjam.mp3","17","69","Me vas a hacer casarme como Nicky Jam",False
"5","yoperreosola_natti.mp3","25","24","Ta bien dura como Natti",False
"6","doubleteam_planB.mp3","59","56","Un dúo bellaco como Chencho y Maldy",False
"7","bellakeo_planB.mp3","60","56","""Plan B"" en la radio canta con sus nena' ",False
"8","faldas_tokischa.mp3","61","63","Aquí singamo como Tokischa",False
"9","tesupere_romeosantos.mp3","63","66","Escuchando a Romeo, dime cuándo te veo",False
"10","triples_mora.mp3","45","67","Cargo el corazón modo avión como Mora",False
"12","situnoestas_wisinyyandel.mp3","72","59","Nos separamos como Wisin y Yandel",False
"13","lafalda_pesopluma.mp3","79","62","Chingando, escuchando a Peso Pluma",False
"14","amanece_karolg.mp3","43","16","Como Karol G en mi cama",False
"11","suelta_jhayco.mp3","68","13","Como Jhayco y Mia Khalifa, baby, yo me encuevo",False
"15","supernova_quevedo.mp3","84","42","Te va a acordar de mí siempre que escuches a Quevedo",False
"16","polaris_myketowers.mp3","83","23","Taba escuchando a Myke Towers cuando yo te reencontré",False
"17","copas_TINI.mp3","87","79","Me habla muy rico, aunque no sea TINI",False
"18","sitepillo_nicky.mp3","88","69","La tengo en vela desde que era Nicky con Yankee",False
"19","sitepillo_daddy.mp3","88","6","La tengo en vela desde que era Nicky con Yankee",False
